Response ID,Timestamp(ddmmyy/hhmm),[MyInfo] Name,NRIC/FIN,[MyInfo] Gender,[MyInfo] Date of birth(ddmmyy),[MyInfo] Race,Mobile number,Which camp are you from?,Which company (COY) are you from?,Which Platoon are you from?,Which section are you from?,What is your bed no?,Date of Outbreak declared,Did you experience any symptoms?,Did you experience fever?,What is the earliest onset date of your symptoms,What is the earliest onset time of your symptoms,What was the highest recorded temperature,Did you experience vomiting?,How many times did you vomit?,Did you experience diarrhoea?,Please indicate the most number of episodes that you have experience diarrhoea in 24 hours,descripe the colour of your loose stools,Did you experience nausea?,Did you experience abdominal pain?,Did you experience headache?,Other symptoms,Were you unwell with GE symptoms (diarrhoea/vomiting) in the past 2 weeks?,What is the earliest date you had diarrhoea / vomitting in the past 2 weeks,Has any of your household members experience GE illness within the week?,What is the date of the symptom onset for your household members?,Please indicate the number of household members that experienced diarrhoea/vomiting after your symptom onset,Do you have household members who were unwell with diarrhoea/vomiting symptoms in the past 2 weeks before your symptoms onset?,Do you have any friends/colleagues who were unwell with diarrhoea/vomiting symptoms in the past 2 weeks before your symptoms onset?,When did household members / friends / colleagues experience diarrhoea/ vomiting in the past 2 weeks?,Please indicate where you took your meal,What time did you have your meal?,What did you eat?,Please indicate where you took your meal,What time did you have your meal?,What did you eat?,Please indicate where you took your meal,What time did you have your meal?,What did you eat?,Please indicate where you took your meal,What time did you have your meal?,What did you eat?,Please indicate where you took your meal,What time did you have your meal?,What did you eat?,Please indicate where you took your meal,What time did you have your meal?,What did you eat?,Please indicate where you took your meal,What time did you have your meal?,What did you eat?,Please indicate where you took your meal,What time did you have your meal?,What did you eat?,Please indicate where you took your meal,What time did you have your meal?,What did you eat?,Please indicate where you took your meal,What time did you have your meal?,What did you eat?,Please indicate where you took your meal,What time did you have your meal?,What did you eat?,Please indicate where you took your meal,What time did you have your meal?,What did you eat?,Please indicate where you took your meal,What time did you have your meal?,What did you eat?,Please indicate where you took your meal,What time did you have your meal?,What did you eat?,Please indicate where you took your meal,What time did you have your meal?,What did you eat?,Please indicate where you took your meal,What time did you have your meal?,What did you eat?,Please indicate where you took your meal,What time did you have your meal?,What did you eat?,Please indicate where you took your meal,What time did you have your meal?,What did you eat?,Please indicate where you took your meal,What time did you have your meal?,What did you eat?,Please indicate where you took your meal,What time did you have your meal?,What did you eat?,Please indicate where you took your meal,What time did you have your meal?,What did you eat?,Please indicate where you took your meal,What time did you have your meal?,What did you eat?,Please indicate where you took your meal,What time did you have your meal?,What did you eat?,Please indicate where you took your meal,What time did you have your meal?,What did you eat?,sgID Validated NRIC
6594f7687fe5f800121b6b4d,3/1/2024 13:58,CONCEICAO EDWIN PHILIP,S8818734B,MALE,31-May-88,EURASIAN,6587671831,Stagmont Camp,1,1,2,12,3-Jan-24,Yes,Yes,1-Jan-24,1600HR,38.9,Yes,6,Yes,12,Red,Yes,Yes,No,,Yes,28-Dec-23,Yes,2-Jan-24,7,Yes,Yes,1-Jan-24,Blk 456,1500HR,2) Muslim - Set B;11) Coffee / Tea;18) Outside food/drinks (includes take-outs and home food),Blk 456,1400HR,2) Muslim - Set B;10) Ice water;17) Canteen Drinks & Snacks,Blk 456,1800HR,1) Muslim - Set A;17) Canteen Drinks & Snacks;18) Outside food/drinks (includes take-outs and home food),,0700HR,6) Non-Muslim - Set B;8) Non-Muslim - Bread / Bread Spreads / Fruit / Ice cream;10) Ice water;18) Outside food/drinks (includes take-outs and home food),,1200HR,8) Non-Muslim - Bread / Bread Spreads / Fruit / Ice cream;9) Vegetarian;11) Coffee / Tea,Blk 456,1900HR,6) Non-Muslim - Set B;8) Non-Muslim - Bread / Bread Spreads / Fruit / Ice cream;10) Ice water;17) Canteen Drinks & Snacks;18) Outside food/drinks (includes take-outs and home food),Blk 123,0700HR,1) Muslim - Set A;4) Muslim - Bread / Bread Spreads / Fruit / Ice cream;11) Coffee / Tea,Blk 456,1400HR,5) Non-Muslim - Set A;8) Non-Muslim - Bread / Bread Spreads / Fruit / Ice cream;10) Ice water;17) Canteen Drinks & Snacks;18) Outside food/drinks (includes take-outs and home food),Blk 456,1700HR,2) Muslim - Set B;3) Muslim - Special Menu;4) Muslim - Bread / Bread Spreads / Fruit / Ice cream;9) Vegetarian;10) Ice water,Blk 456,0700HR,1) Muslim - Set A;4) Muslim - Bread / Bread Spreads / Fruit / Ice cream;11) Coffee / Tea;17) Canteen Drinks & Snacks;18) Outside food/drinks (includes take-outs and home food),Blk 123,1300HR,1) Muslim - Set A;4) Muslim - Bread / Bread Spreads / Fruit / Ice cream;11) Coffee / Tea,Blk 123,1800HR,1) Muslim - Set A;4) Muslim - Bread / Bread Spreads / Fruit / Ice cream;10) Ice water,Blk 123,0800HR,2) Muslim - Set B;6) Non-Muslim - Set B;9) Vegetarian,Blk 456,1100HR,5) Non-Muslim - Set A;8) Non-Muslim - Bread / Bread Spreads / Fruit / Ice cream;9) Vegetarian;10) Ice water,Blk 456,1800HR,2) Muslim - Set B;4) Muslim - Bread / Bread Spreads / Fruit / Ice cream;10) Ice water;17) Canteen Drinks & Snacks,Blk 456,0800HR,1) Muslim - Set A;11) Coffee / Tea,Blk 456,1200HR,12) Out-ration (Muslim);15) Canteen Food - Muslim;17) Canteen Drinks & Snacks,Blk 123,1800HR,13) Out-ration (Non-Muslim),Blk 123,1800HR,2) Muslim - Set B;11) Coffee / Tea,Blk 456,1200HR,6) Non-Muslim - Set B;10) Ice water;18) Outside food/drinks (includes take-outs and home food),Blk 456,1800HR,5) Non-Muslim - Set A,Blk 456,0800HR,2) Muslim - Set B,Blk 456,1200HR,2) Muslim - Set B,Blk 456,Did not eat,19) Did not consume cookhouse / canteen / out-ration,S8818734B
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
